Kurzname,Name,M_ID,Kürzel,Gemeinden,Kreise
Mittlere Unternehmen,Anteil der Niederlassungen mit 50 bis unter 250 SV-Beschäftigten an den Niederlassungen insgesamt in %,14203,a_betr_mittel,,2006-2023
Großunternehmen,Anteil der Niederlassungen mit mehr als 250 SV-Beschäftigten an den Niederlassungen insgesamt in %,14204,a_betr_groß,,2006-2023
Bruttoinlandsprodukt je Einwohner,Bruttoinlandsprodukt in 1.000 € je Einwohner,14205,q_bip_ew,,1992-2022
Bruttoinlandsprodukt je Erwerbstätigen,Bruttoinlandsprodukt in 1.000 € je Erwerbstätigen,14206,q_bip_et,,1992-2022
Bruttowertschöpfung je Erwerbstätigen,Bruttowertschöpfung insgesamt in 1.000 € je Erwerbstätigen,14207,q_bws_et,,2000-2022
Bruttowertschöpfung je Erwerbstätigen Primärer Sektor,Bruttowertschöpfung im Primären Sektor in 1.000 € je Erwerbstätigen im Primären Sektor,14208,q_bws_1sektor,,2000-2022
Bruttowertschöpfung je Erwerbstätigen Sekundärer Sektor,Bruttowertschöpfung im Sekundären Sektor in 1.000 € je Erwerbstätigen im Sekundären Sektor,14209,q_bws_2sektor,,2000-2022
Bruttowertschöpfung je Erwerbstätigen Tertiärer Sektor,Bruttowertschöpfung im Tertiären Sektor in 1.000 € je Erwerbstätigen im Tertiären Sektor,14210,q_bws_3sektor,,2000-2022
Anteil Bruttowertschöpfung Primärer Sektor,Anteil Bruttowertschöpfung im Primären Sektor an der Bruttowertschöpfung in %,14211,a_bws_1sektor,,2000-2022
Anteil Bruttowertschöpfung Sekundärer Sektor,Anteil Bruttowertschöpfung im Sekundären Sektor an der Bruttowertschöpfung in %,14212,a_bws_2sektor,,2000-2022
Anteil Bruttowertschöpfung Tertiärer Sektor,Anteil Bruttowertschöpfung im Tertiären Sektor an der Bruttowertschöpfung in %,14213,a_bws_3sektor,,2000-2022
Umsatz im Handwerk,Umsatz im Handwerk in 1.000 Euro je tätiger Person,14220,q_handw_umsatz,,2010-2022
